ID	ra_center	dec_center
255	281.526500	-7.499900
256	286.537000	7.473600
257	286.603800	-7.499900
258	291.596300	7.474100
259	291.679500	-7.499800
260	296.654500	7.474400
261	296.753600	-7.499300
262	301.711600	7.474500
263	301.826100	-7.498300
264	306.768000	7.474200
265	306.897100	-7.496600
266	311.823900	7.473300
267	311.966900	-7.494300
268	316.879700	7.471900
269	317.035600	-7.491200
270	321.935800	7.469900
271	322.103600	-7.487500
272	326.992600	7.467600
273	327.171100	-7.483200
274	332.050300	7.465000
275	332.238400	-7.478400
276	337.109300	7.462300
277	337.305600	-7.473600
278	342.169600	7.460000
279	342.372700	-7.468800
280	347.231500	7.458200
281	347.439700	-7.464600
282	352.294800	7.457200
283	352.506600	-7.461100
284	357.359400	7.457300
285	357.573000	-7.458600
286	2.581200	12.446500
287	2.565700	-12.446600
288	7.729900	12.448300
289	7.714600	-12.448500
290	12.877500	12.451600
291	12.862600	-12.452000
292	18.023700	12.456100
293	18.009400	-12.456700
294	23.168100	12.461300
295	23.154500	-12.461900
296	28.310700	12.466600
297	28.297900	-12.467200
298	33.451700	12.471500
299	33.439700	-12.472100
300	38.591100	12.475500
301	38.580100	-12.476000
302	43.729500	12.478400
303	43.719400	-12.478900
304	48.867200	12.480000
305	48.858100	-12.480300
306	54.004700	12.480300
307	53.996600	-12.480500
308	59.142500	12.479500
309	59.135200	-12.479400
310	64.281000	12.477600
311	64.274500	-12.477300
312	69.420400	12.475000
313	69.414600	-12.474500
314	74.561000	12.472000
315	74.555800	-12.471200
316	79.702900	12.468900
317	79.698200	-12.467800
318	84.845900	12.465900
319	84.841600	-12.464600
320	89.990100	12.463300
321	89.985900	-12.461800
322	95.135000	12.461200
323	95.130900	-12.459500
324	100.280500	12.459700
325	100.276400	-12.457700
326	105.426300	12.458700
327	105.422000	-12.456600
328	110.572200	12.458300
329	110.567600	-12.456000
330	115.717800	12.458200
331	115.712800	-12.455800
332	120.863100	12.458500
333	120.857700	-12.456000
334	126.007900	12.458900
335	126.001900	-12.456500
336	131.152100	12.459300
337	131.145600	-12.456900
338	136.295700	12.459500
339	136.288600	-12.457200
340	141.438700	12.459400
341	141.431000	-12.457300
342	146.581200	12.458900
343	146.572900	-12.457000
344	151.723400	12.457900
345	151.714600	-12.456200
346	156.865400	12.456500
347	156.856200	-12.455100
348	162.007500	12.454900
349	161.998000	-12.453700
350	167.149700	12.453200
351	167.139900	-12.452400
352	172.292200	12.451800
353	172.282100	-12.451300
354	177.434700	12.451000
355	177.424600	-12.450900
356	182.577300	12.450900
357	182.567200	-12.451100
358	187.719800	12.451500
359	187.709700	-12.452000
360	192.862000	12.452600
361	192.852200	-12.453400
362	198.003900	12.454000
363	197.994400	-12.455100
364	203.145600	12.455400
365	203.136400	-12.456900
366	208.287100	12.456600
367	208.278400	-12.458300
368	213.428700	12.457500
369	213.420500	-12.459400
370	218.570600	12.457900
371	218.562900	-12.460000
372	223.712900	12.457900
373	223.705800	-12.460200
374	228.855800	12.457600
375	228.849300	-12.460000
376	233.999300	12.457200
377	233.993300	-12.459600
378	239.143400	12.456900
379	239.138000	-12.459300
380	244.288100	12.456700
381	244.283100	-12.459100
382	249.433200	12.456900
383	249.428600	-12.459200
384	254.578600	12.457500
385	254.574300	-12.459700
386	259.724100	12.458700
387	259.719900	-12.460700
388	264.869400	12.460500
389	264.865300	-12.462200
390	270.014200	12.462800
391	270.010000	-12.464300
392	275.158300	12.465700
393	275.154000	-12.466900
394	280.301600	12.468900
395	280.296800	-12.469900
396	285.443700	12.472200
397	285.438500	-12.473000
398	290.584700	12.475500
399	290.579000	-12.476000
400	295.724700	12.478300
401	295.718200	-12.478500
402	300.863800	12.480300
403	300.856500	-12.480400
404	306.002300	12.481400
405	305.994200	-12.481200
406	311.140600	12.481200
407	311.131500	-12.480800
408	316.279100	12.479600
409	316.269100	-12.479100
410	321.418300	12.476700
411	321.407300	-12.476200
412	326.558600	12.472700
413	326.546600	-12.472100
414	331.700200	12.467800
415	331.687400	-12.467100
416	336.843600	12.462400
417	336.830000	-12.461800
418	341.988700	12.457000
419	341.974300	-12.456500
420	347.135300	12.452300
421	347.120400	-12.451900
422	352.283300	12.448700
423	352.268000	-12.448400
424	357.432200	12.446700
425	357.416700	-12.446600
426	2.605600	17.442900
427	2.605500	-17.442900
428	7.818900	17.446200
429	7.818900	-17.446200
430	13.031800	17.452400
431	13.031700	-17.452400
432	18.244200	17.460600
433	18.244200	-17.460700
434	23.456400	17.470000
435	23.456300	-17.470000
436	28.668800	17.479300
437	28.668700	-17.479400
438	33.882000	17.487800
439	33.881900	-17.487900
440	39.096800	17.494600
441	39.096600	-17.494700
442	44.313800	17.499200
443	44.313600	-17.499300
444	49.533800	17.501400
445	49.533600	-17.501500
446	54.757300	17.501000
447	54.757100	-17.501100
448	59.984500	17.498300
449	59.984300	-17.498300
450	65.215500	17.493500
451	65.215200	-17.493600
452	70.449900	17.487200
453	70.449600	-17.487300
454	75.687000	17.480100
455	75.686700	-17.480200
456	80.925800	17.472700
457	80.925600	-17.472700
458	86.165400	17.465600
459	86.165100	-17.465600
460	91.404500	17.459300
461	91.404300	-17.459300
462	96.642200	17.454000
463	96.642000	-17.453900
464	101.877900	17.449900
465	101.877700	-17.449800
466	107.110800	17.447000
467	107.110700	-17.446900
468	112.340900	17.445200
469	112.340700	-17.445200
470	117.567600	17.444500
471	117.567500	-17.444400
472	122.791000	17.444500
473	122.791000	-17.444300
474	128.010900	17.444900
475	128.010800	-17.444800
476	133.227000	17.445500
477	133.226900	-17.445400
478	138.439200	17.445900
479	138.439200	-17.445700
480	143.647300	17.445700
481	143.647400	-17.445600
482	148.851400	17.444700
483	148.851400	-17.444600
484	154.051400	17.442900
485	154.051400	-17.442800
486	159.247400	17.440400
487	159.247400	-17.440300
488	164.439600	17.437600
489	164.439700	-17.437500
490	169.628700	17.434900
491	169.628800	-17.434900
492	174.815500	17.433100
493	174.815600	-17.433100
494	180.001000	17.432500
495	180.001100	-17.432500
496	185.186500	17.433200
497	185.186600	-17.433200
498	190.373200	17.435100
499	190.373300	-17.435200
500	195.562300	17.437900
501	195.562400	-17.437900
502	200.754600	17.440800
503	200.754600	-17.440900
504	205.950500	17.443400
505	205.950600	-17.443500
506	211.150400	17.445300
507	211.150500	-17.445400
508	216.354400	17.446400
509	216.354500	-17.446500
510	221.562500	17.446600
511	221.562500	-17.446800
512	226.774600	17.446400
513	226.774600	-17.446500
514	231.990600	17.445900
515	231.990600	-17.446000
516	237.210400	17.445500
517	237.210300	-17.445600
518	242.433600	17.445600
519	242.433500	-17.445700
520	247.660300	17.446500
521	247.660200	-17.446600
522	252.890100	17.448300
523	252.890000	-17.448400
524	258.123000	17.451200
525	258.122800	-17.451300
526	263.358400	17.455400
527	263.358200	-17.455400
528	268.596000	17.460800
529	268.595700	-17.460800
530	273.834900	17.467100
531	273.834600	-17.467100
532	279.074200	17.474200
533	279.074000	-17.474200
534	284.312800	17.481600
535	284.312600	-17.481600
536	289.549700	17.488700
537	289.549500	-17.488700
538	294.783900	17.495000
539	294.783600	-17.494900
540	300.014600	17.499700
541	300.014400	-17.499600
542	305.241700	17.502400
543	305.241400	-17.502300
544	310.464900	17.502700
545	310.464700	-17.502600
546	315.684700	17.500500
547	315.684600	-17.500400
548	320.901600	17.495700
549	320.901500	-17.495600
550	326.116200	17.488800
551	326.116100	-17.488700
552	331.329300	17.480200
553	331.329200	-17.480100
554	336.541500	17.470700
555	336.541400	-17.470600
556	341.753600	17.461300
557	341.753500	-17.461200
558	346.966000	17.452800
559	346.965900	-17.452800
560	352.178800	17.446500
561	352.178800	-17.446400
562	357.392100	17.443000
563	357.392100	-17.443000
564	2.681900	22.463300
565	2.681200	-22.463300
566	8.048200	22.467900
567	8.047600	-22.468000
568	13.416100	22.476400
569	13.415500	-22.476500
570	18.786500	22.487100
571	18.785900	-22.487300
572	24.159700	22.498500
573	24.159100	-22.498800
574	29.536200	22.508900
575	29.535600	-22.509200
576	34.916000	22.517000
577	34.915400	-22.517300
578	40.299000	22.521700
579	40.298600	-22.522000
580	45.685200	22.522400
581	45.684800	-22.522800
582	51.074200	22.519100
583	51.073800	-22.519500
584	56.465300	22.512000
585	56.465000	-22.512500
586	61.857700	22.502000
587	61.857300	-22.502400
588	67.249700	22.490000
589	67.249500	-22.490500
590	72.639600	22.477600
591	72.639400	-22.478100
592	78.025000	22.465900
593	78.024900	-22.466400
594	83.403500	22.456000
595	83.403400	-22.456500
596	88.773200	22.448600
597	88.773100	-22.449000
598	94.132900	22.443800
599	94.132900	-22.444300
600	99.482700	22.441700
601	99.482800	-22.442200
602	104.823800	22.442000
603	104.824000	-22.442400
604	110.158500	22.444300
605	110.158700	-22.444800
606	115.489400	22.448500
607	115.489700	-22.448900
608	120.819800	22.454000
609	120.820200	-22.454400
610	126.152600	22.460800
611	126.153000	-22.461100
612	131.490600	22.468300
613	131.491100	-22.468600
614	136.836200	22.476000
615	136.836700	-22.476300
616	142.191500	22.483400
617	142.192100	-22.483700
618	147.558300	22.489900
619	147.558900	-22.490100
620	152.937700	22.495100
621	152.938200	-22.495300
622	158.330000	22.498800
623	158.330600	-22.499000
624	163.734800	22.501200
625	163.735400	-22.501300
626	169.150200	22.502600
627	169.150800	-22.502700
628	174.573400	22.503300
629	174.574100	-22.503300
630	180.000900	22.503500
631	180.001600	-22.503500
632	185.428400	22.503500
633	185.429000	-22.503400
634	190.851700	22.503000
635	190.852300	-22.502900
636	196.267000	22.501800
637	196.267600	-22.501700
638	201.671600	22.499600
639	201.672200	-22.499500
640	207.063900	22.496100
641	207.064500	-22.495900
642	212.443200	22.491100
643	212.443700	-22.490900
644	217.809800	22.484800
645	217.810400	-22.484500
646	223.165100	22.477600
647	223.165600	-22.477300
648	228.510600	22.470000
649	228.511000	-22.469700
650	233.848400	22.462700
651	233.848900	-22.462300
652	239.181200	22.456100
653	239.181500	-22.455700
654	244.511400	22.450600
655	244.511700	-22.450200
656	249.842300	22.446600
657	249.842500	-22.446200
658	255.176800	22.444400
659	255.177000	-22.443900
660	260.517800	22.444200
661	260.517900	-22.443700
662	265.867500	22.446400
663	265.867500	-22.445900
664	271.227000	22.451100
665	271.227000	-22.450700
666	276.596500	22.458600
667	276.596400	-22.458100
668	281.974800	22.468500
669	281.974600	-22.468000
670	287.360000	22.480100
671	287.359800	-22.479600
672	292.749700	22.492500
673	292.749400	-22.492000
674	298.141500	22.504300
675	298.141200	-22.503900
676	303.533700	22.514300
677	303.533300	-22.513900
678	308.924600	22.521200
679	308.924200	-22.520800
680	314.313400	22.524400
681	314.313000	-22.524000
682	319.699500	22.523500
683	319.699000	-22.523100
684	325.082400	22.518600
685	325.081900	-22.518300
686	330.462100	22.510300
687	330.461500	-22.510100
688	335.838400	22.499700
689	335.837800	-22.499500
690	341.211600	22.488100
691	341.211000	-22.487900
692	346.581800	22.477100
693	346.581200	-22.476900
694	351.949700	22.468300
695	351.949100	-22.468300
696	357.316100	22.463400
697	357.315400	-22.463400
698	2.812600	27.477600
699	2.812100	-27.477600
700	8.439700	27.483100
701	8.439100	-27.483200
702	14.064400	27.493100
703	14.063900	-27.493200
704	19.686500	27.505300
705	19.686000	-27.505500
706	25.306500	27.517400
707	25.306000	-27.517700
708	30.925600	27.527400
709	30.925100	-27.527700
710	36.545400	27.533400
711	36.544900	-27.533800
712	42.167100	27.534600
713	42.166600	-27.535000
714	47.791400	27.530300
715	47.791000	-27.530800
716	53.418600	27.521100
717	53.418200	-27.521600
718	59.048700	27.508100
719	59.048400	-27.508600
720	64.681600	27.493400
721	64.681300	-27.493900
722	70.316700	27.479500
723	70.316500	-27.480100
724	75.953500	27.469300
725	75.953300	-27.469800
726	81.590900	27.464400
727	81.590900	-27.465000
728	87.228000	27.465400
729	87.227900	-27.466000
730	92.863200	27.471700
731	92.863200	-27.472300
732	98.495000	27.481400
733	98.495100	-27.482000
734	104.121700	27.492600
735	104.121800	-27.493200
736	109.742100	27.503400
737	109.742300	-27.504000
738	115.355700	27.512700
739	115.355900	-27.513200
740	120.963500	27.519700
741	120.963800	-27.520100
742	126.567900	27.524300
743	126.568200	-27.524700
744	132.172100	27.526300
745	132.172500	-27.526800
746	137.779500	27.525500
747	137.779900	-27.525900
748	143.392700	27.521400
749	143.393100	-27.521700
750	149.012600	27.514000
751	149.013100	-27.514200
752	154.639000	27.503800
753	154.639500	-27.504000
754	160.270500	27.492200
755	160.271000	-27.492400
756	165.905600	27.481000
757	165.906100	-27.481200
758	171.543000	27.472200
759	171.543500	-27.472200
760	177.181600	27.467300
761	177.182200	-27.467300
762	182.820700	27.467500
763	182.821300	-27.467400
764	188.459300	27.472600
765	188.459900	-27.472500
766	194.096600	27.481800
767	194.097200	-27.481600
768	199.731700	27.493200
769	199.732200	-27.493000
770	205.363100	27.505100
771	205.363600	-27.504800
772	210.989400	27.515500
773	210.989900	-27.515200
774	216.609200	27.523200
775	216.609700	-27.522900
776	222.222200	27.527500
777	222.222700	-27.527200
778	227.829500	27.528600
779	227.829900	-27.528200
780	233.433600	27.526700
781	233.433900	-27.526300
782	239.037800	27.522300
783	239.038100	-27.521800
784	244.645500	27.515500
785	244.645800	-27.515000
786	250.259000	27.506400
787	250.259200	-27.505900
788	255.879100	27.495700
789	255.879300	-27.495200
790	261.505600	27.484700
791	261.505700	-27.484100
792	267.137200	27.475000
793	267.137200	-27.474400
794	272.772200	27.468900
795	272.772100	-27.468300
796	278.408900	27.467800
797	278.408900	-27.467200
798	284.046100	27.472700
799	284.046000	-27.472100
800	289.682600	27.482900
801	289.682400	-27.482300
802	295.317500	27.496600
803	295.317200	-27.496000
804	300.950000	27.511100
805	300.949700	-27.510600
806	306.580000	27.524000
807	306.579600	-27.523500
808	312.207000	27.533000
809	312.206600	-27.532500
810	317.831100	27.537000
811	317.830600	-27.536600
812	323.452600	27.535600
813	323.452100	-27.535200
814	329.072200	27.529300
815	329.071700	-27.529000
816	334.691200	27.519100
817	334.690700	-27.518800
818	340.311100	27.506600
819	340.310500	-27.506400
820	345.933000	27.494100
821	345.932500	-27.493900
822	351.557700	27.483700
823	351.557100	-27.483600
824	357.184700	27.477800
825	357.184100	-27.477800
826	2.943700	32.485500
827	2.943200	-32.485600
828	8.836400	32.494200
829	8.835900	-32.494300
830	14.733900	32.509100
831	14.733400	-32.509200
832	20.638100	32.525700
833	20.637600	-32.525900
834	26.549400	32.540300
835	26.548900	-32.540500
836	32.466700	32.549700
837	32.466200	-32.550000
838	38.388000	32.552300
839	38.387500	-32.552600
840	44.310300	32.547500
841	44.309900	-32.547900
842	50.230100	32.535700
843	50.229800	-32.536200
844	56.143300	32.518500
845	56.143000	-32.519000
846	62.045500	32.498500
847	62.045300	-32.499000
848	67.933600	32.479200
849	67.933300	-32.479700
850	73.806400	32.464700
851	73.806200	-32.465300
852	79.666400	32.458200
853	79.666300	-32.458700
854	85.519100	32.460600
855	85.519100	-32.461100
856	91.372600	32.471200
857	91.372600	-32.471800
858	97.235400	32.488100
859	97.235400	-32.488600
860	103.114800	32.508300
861	103.114900	-32.508900
862	109.015800	32.529000
863	109.016000	-32.529500
864	114.940100	32.547000
865	114.940300	-32.547500
866	120.885700	32.559900
867	120.886000	-32.560400
868	126.847800	32.566000
869	126.848100	-32.566400
870	132.818100	32.564600
871	132.818500	-32.565000
872	138.786800	32.556000
873	138.787300	-32.556300
874	144.743600	32.541400
875	144.744100	-32.541800
876	150.679900	32.523200
877	150.680400	-32.523500
878	156.590300	32.503800
879	156.590800	-32.504000
880	162.473400	32.485500
881	162.474000	-32.485700
882	168.332000	32.470400
883	168.332500	-32.470500
884	174.171700	32.460400
885	174.172300	-32.460400
886	180.001400	32.457000
887	180.001900	-32.457000
888	185.831000	32.460800
889	185.831600	-32.460700
890	191.670800	32.471200
891	191.671400	-32.471100
892	197.529400	32.486700
893	197.529900	-32.486500
894	203.412500	32.505300
895	203.413000	-32.505100
896	209.322900	32.525100
897	209.323400	-32.524800
898	215.259000	32.543600
899	215.259500	-32.543300
900	221.215600	32.558500
901	221.216100	-32.558100
902	227.184100	32.567400
903	227.184500	-32.567000
904	233.154200	32.569000
905	233.154600	-32.568600
906	239.115900	32.563200
907	239.116200	-32.562700
908	245.061300	32.550500
909	245.061500	-32.550000
910	250.985200	32.532800
911	250.985400	-32.532200
912	256.886000	32.512300
913	256.886100	-32.511700
914	262.765100	32.492200
915	262.765200	-32.491600
916	268.627600	32.475500
917	268.627600	-32.474900
918	274.480900	32.464900
919	274.480800	-32.464300
920	280.333400	32.462500
921	280.333300	-32.462000
922	286.193100	32.469100
923	286.192900	-32.468500
